date,cpi,gas_price,hourly_wage,year,month,month_name,cpi_yoy_pct,gas_yoy_pct,wage_yoy_pct,real_wage,real_wage_index
2013-04-01,231.797,3.5702,20.04,2013,4,April,1.138808047576867,-8.465798379653366,1.8292682926829285,8.645495843345685,111.10813017424728
2013-05-01,231.893,3.61475,20.05,2013,5,May,1.3903888279197085,-3.148234978900133,1.880081300813008,8.64622907979111,111.11755340825293
2013-06-01,232.445,3.626,20.13,2013,6,June,1.7157935271568725,2.4655598728364536,2.130898021308969,8.660113145045065,111.29598534061822
2013-07-01,232.9,3.5909999999999997,20.14,2013,7,July,1.885471805415806,4.413817166782952,1.9746835443037902,8.647488192357235,111.13373497209102
2013-08-01,233.456,3.57375,20.17,2013,8,August,1.538809488600279,-3.970173317210801,2.1783181357649672,8.639743677609486,111.03420585677817
2013-09-01,233.544,3.5324,20.23,2013,9,September,1.0947341081747997,-8.213589710276736,2.2233451237999136,8.662179289555715,111.32253852593085
2013-10-01,233.669,3.34375,20.25,2013,10,October,0.8767991434911471,-10.728588210166611,2.3244062657908016,8.666104618070861,111.37298513067631
2013-11-01,234.1,3.24275,20.31,2013,11,November,1.2328701961954458,-6.054899688563764,2.368951612903225,8.67577958137548,111.49732352627082
2013-12-01,234.719,3.2763999999999998,20.34,2013,12,December,1.5128383667573297,-1.0270662155630772,2.2110552763819236,8.665681091006693,111.3675421461407
2014-01-01,235.288,3.3125,20.39,2014,1,January,1.557758795574915,-0.18080458038270963,2.308078273958869,8.6659753153582,111.37132338878311
2014-02-01,235.547,3.35625,20.51,2014,2,February,1.1204746347724948,-8.549046321525877,2.601300650325178,8.70739173073739,111.90358903955473
2014-03-01,236.028,3.5332,20.5,2014,3,March,1.6126949139408042,-4.7975749410576025,2.4487756121938986,8.685410205568832,111.62109209500571
2014-04-01,236.468,3.66075,20.51,2014,4,April,2.015125303606169,2.5362724777323598,2.345309381237537,8.673478018167364,111.467744842854
2014-05-01,236.918,3.67275,20.53,2014,5,May,2.166947687079812,1.6045369665952158,2.394014962593527,8.665445428376064,111.36451351311425
2014-06-01,237.231,3.6915999999999998,20.6,2014,6,June,2.0589816945944195,1.8091560948703789,2.334823646299067,8.683519438859172,111.59679278846357
2014-07-01,237.498,3.61125,20.61,2014,7,July,1.9742378703305974,0.5639097744360999,2.333664349553133,8.677967814465806,111.52544574059571
2014-08-01,237.46,3.4865,20.66,2014,8,August,1.7150983482969062,-2.4414130814970236,2.429350520575113,8.7004127010865,111.81389760380695
2014-09-01,237.477,3.4061999999999997,20.66,2014,9,September,1.6840509711232077,-3.5726418299173446,2.125556104794857,8.699789874387836,111.80589330756241
2014-10-01,237.43,3.1705,20.7,2014,10,October,1.6095417021513292,-5.181308411214946,2.2222222222222143,8.718359095312302,112.0445368108495
2014-11-01,236.983,2.9122500000000002,20.77,2014,11,November,1.231524989320798,-10.191966694934852,2.2648941408173417,8.764341746032416,112.63548572049473
2014-12-01,236.252,2.5425999999999997,20.71,2014,12,December,0.6531213919623191,-22.396532779880364,1.8190757128810242,8.76606335607741,112.65761109958858
2015-01-01,234.747,2.11575,20.8,2015,1,January,-0.22993097820542818,-36.12830188679246,2.0107896027464545,8.860603117398732,113.87259475094464
2015-02-01,235.342,2.21625,20.84,2015,2,February,-0.08703146293520536,-33.96648044692737,1.6089712335445983,8.855197967213671,113.80313012551943
